,SMILES,Cc ,Upper,Lower
0,C,-0.75,,
1,CCC(CC)COC(=O)CC(C(=O)OCC(CC)CC)S(=O)(=O)[O-],-0.933,-0.8300000000000001,-1.036
2,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],2.6574999999999998,2.64,2.28
3,CCCCCCC(C)Cc1ccc(S(=O)(=O)[O-])cc1,-1.6,,
4,CCCCCCCC(=O)[O-],-2.1,-2.0,-2.2
5,CCCCCCCC/C=C\CCCCCCCC(=O)O,0.0,0.1,-0.1
6,CCCCCCCC/C=C\CCCCCCCC(=O)[O-],-1.7,-1.6,-1.8
7,CCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,-1.2,,
8,CCCCCCCCCC(=O)[O-],-2.65,,
9,CCCCCCCCCC(C)Cc1cc(C)c(S(=O)(=O)[O-])cc1C,0.6,,
10,CCCCCCCCCC(C)Cc1ccc(S(=O)(=O)[O-])c(C)c1C,0.5,,
11,CCCCCCCCCC(C)Cc1ccc(S(=O)(=O)[O-])cc1,-0.6,,
12,CCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,-0.48,,
13,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-],-4.2,-4.0,-4.4
14,CCCCCCCCCCCC(=O)[O-],-2.0,-2.2,-2.6
15,CCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,0.24,,
16,CCCCCCCCCCCCCC(=O)N(C)CC(=O)[O-],-2.8,,
17,CCCCCCCCCCCCCC(=O)[O-],-2.0250000000000004,-1.9000000000000001,-2.5
18,CCCCCCCCCCCCCCCC(=O)[O-],-1.2,,
19,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)[O-])C(=O)O,-5.0,,
20,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],-5.0,-4.8,-5.2
21,CCCCCCCCCCCCCCCCc1cc(Oc2cccc(S(=O)(=O)[O-])c2)cc(S(=O)(=O)[O-])c1,-5.7,,
22,CCCCCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,0.64,,
23,CCCCCCCCCCCCCCOS(=O)(=O)[O-],-2.375,,
24,CCCCCCCCCCCCCCS(=O)(=O)[O-],-3.0,-2.6,-3.4
25,CCCCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,0.24,,
26,CCCCCCCCCCCCOS(=O)(=O)[O-],-2.6142857142857143,-2.105,-2.6550000000000002
27,CCCCCCCCCCCCS(=O)(=O)[O-],-3.0,,
28,CCCCCCCCCCCCc1cc(S(=O)(=O)[O-])c(C)cc1C,0.48,,
29,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,-0.62,-0.8,-1.0
30,CCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,-0.8,,
31,CCCCCCCCCCOS(=O)(=O)[O-],-3.325,,
32,CCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,-1.6,,
33,CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-],-1.035,,
34,Cc1ccc2cccc(C)c2c1S(=O)(=O)[O-],-3.5,,
35,Cc1ccc2ccccc2c1S(=O)(=O)[O-],-3.5,-3.0,-4.0
