,SMILES,Cc ,Upper,Lower
0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,-0.53,-0.33,-0.73
1,CCCCCCCCCCCCCCCCCCCCC(=O)NCCn1ccnc1CCCCCCCCCCCCCCCCCCCC,7.7,12.2,3.2
2,CCCCCCCCCCCCCCCCCCCCc1nccn1CCN,1.6,2.1,1.1
3,CCCCCCCCCCCCCCCCCCNCCC[N+],-0.68,,
4,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-0.76,,
5,CCCCCCCCCCCCCCCC[N+],0.85,,
6,CCCCCCCCCCCCCCCC[N+](C)(C)C,-3.036666666666666,-5.4,-6.0
7,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0.1,0.5,0.0
8,CCCCCCCCCCCCCCCC[n+]1ccccc1,-1.9,,
9,CCCCCCCCCCCCCCCCn1cc[n+](C)c1,-7.0,-6.9,-7.1
10,CCCCCCCCCCCCCCC[N+](C)(C)[O-],1.6,1.8,1.4
11,CCCCCCCCCCCCCC[N+],0.0,,
12,CCCCCCCCCCCCCC[N+](C)(C)C,-4.8566666666666665,-7.9,-8.9
13,CCCCCCCCCCCCCC[N+](C)(C)c1ccccc1,-0.6,,
14,CCCCCCCCCCCCCCc1ccccn1,-3.7,,
15,CCCCCCCCCCCCC[N+](C)(C)[O-],0.7,1.3,0.1
16,CCCCCCCCCCCC[N+],-0.8436666666666667,,
17,CCCCCCCCCCCC[N+](C)(C)C,-5.3675,-9.3,-10.7
18,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,8.3,9.7,6.9
19,CCCCCCCCCCCC[N+](C)(C)[O-],-1.0,-0.4,-1.6
20,CCCCCCCCCCCCc1ccccn1,-4.56,,
21,CCCCCCCCCCC[n+]1ccccc1,-5.3,-4.0,-6.6
22,CCCCCCCCCC[N+],-1.275,,
23,CCCCCCCCCC[N+](C)(C)C,-5.22,,
24,CCCCCCCCCCc1ccccn1,-5.41,,
25,CCCCCCCC[N+],-2.55,,
26,CCCc1ccnc(CCC)c1,-0.9,-0.8,-1.0
