,SMILES,Cc ,Upper,Lower
0,CC(C)CCCC(C)CCC(C)COCCOCCOCCO,1.0,,
1,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCO,-0.1,,
2,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCOCCO,-1.1,,
3,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCOCCOCCOCCO,-1.8,,
4,CCCC(CCCCOCCOCCOCCOCCOCCOCCOCCO)CCC(C)CC,0.07,0.16,-0.02
5,CCCCC(C)C(CC)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,-2.0,-1.2,-2.8
6,CCCCC(CC)CC(CC(CC)CCCC)(C(=O)[O-])C(C(=O)[O-])S(=O)(=O)O,2.55,,
7,CCCCC(CC)CCC(C)CCOCCOCCOCCOCCO,0.2999999999999998,,
8,CCCCC(CC)CCC(C)CCOCCOCCOCCOCCOCCOCCOCCO,-2.7,,
9,CCCCC(CC)CCC(C)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-5.7,,
10,CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,1.2,,
11,CCCCCC(C)Cc1ccc(OCCOCCOCCO)cc1,3.2,,
12,CCCCCC(C)Cc1ccc(OCCOCCOCCOCCOCCOCCO)cc1,0.2000000000000001,,
13,CCCCCC(C)Cc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-2.8,,
14,CCCCCCC(C)CCCCCOCCOCCOCCOCCO,1.1,,
15,CCCCCCC(C)CCCCCOCCOCCOCCOCCOCCO,0.3,,
16,CCCCCCC(C)CCCCCOCCOCCOCCOCCOCCOCCOCCO,-1.4,,
17,CCCCCCC(C)CCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-4.15,,
18,CCCCCCC(C)Cc1ccc(OCCOCCOCCO)cc1,1.5,,
19,CCCCCCC(C)Cc1ccc(OCCOCCOCCOCCOCCO)cc1,0.8600000000000003,,
20,CCCCCCC(C)Cc1ccc(OCCOCCOCCOCCOCCOCCO)cc1,0.33,,
21,CCCCCCC(C)Cc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-1.7400000000000002,,
