,SMILES,Cc ,Upper,Lower
0,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(=O)[O-],-1.5,,
1,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)[O-],-2.5,,
2,CCC(C)CC(C)CCCCC(C)OC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.61,,
3,CCC(CC)COC(=O)CC(C(=O)OCC(CC)CC)S(=O)(=O)[O-],-0.933,-0.8300000000000001,-1.036
4,CCCCC(C)C(CC)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,-2.0,-1.2,-2.8
5,CCCCC(CC)CC(CC(CC)CCCC)(C(=O)[O-])C(C(=O)[O-])S(=O)(=O)O,2.55,,
6,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],2.6574999999999998,2.64,2.28
7,CCCCCCC(C)CCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.3,,
8,CCCCCCC(C)CCCCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.5,,
9,CCCCCCC(C)CCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-0.2,,
10,CCCCCCC(C)CCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-0.8,,
11,CCCCCCC(C)CCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.3,,
12,CCCCCCC(C)Cc1ccc(S(=O)(=O)[O-])cc1,-1.6,,
13,CCCCCCC(CCCC)COCCOC(C)COC(C)COC(C)COC(=O)[O-],0.6,,
14,CCCCCCC(CCCC)COCCOCCOCCOCCOCCOCCOC(=O)[O-],-1.1,,
15,CCCCCCCC(=O)[O-],-2.1,-2.0,-2.2
16,CCCCCCCC/C=C\CCCCCCCC(=O)O,0.0,0.1,-0.1
17,CCCCCCCC/C=C\CCCCCCCC(=O)[O-],-1.7,-1.6,-1.8
18,CCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,-1.2,,
19,CCCCCCCCCC(=O)[O-],-2.65,,
20,CCCCCCCCCC(C)Cc1cc(C)c(S(=O)(=O)[O-])cc1C,0.6,,
21,CCCCCCCCCC(C)Cc1ccc(S(=O)(=O)[O-])c(C)c1C,0.5,,
22,CCCCCCCCCC(C)Cc1ccc(S(=O)(=O)[O-])cc1,-0.6,,
23,CCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,-0.48,,
24,CCCCCCCCCCCC(=O)[O-],-2.0,-2.2,-2.6
25,CCCCCCCCCCCC(C)OC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.53,,
26,CCCCCCCCCCCC(C)OCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.0,,
27,CCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,0.24,,
28,CCCCCCCCCCCCCC(=O)[O-],-2.0250000000000004,-1.9000000000000001,-2.5
29,CCCCCCCCCCCCCCCC(=O)[O-],-1.2,,
30,CCCCCCCCCCCCCCCCCC(=O)[O-],-0.75,,
31,CCCCCCCCCCCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)[O-],1.0,,
32,CCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)[O-],0.2,,
33,CCCCCCCCCCCCCCCCc1cc(Oc2cccc(S(=O)(=O)[O-])c2)cc(S(=O)(=O)[O-])c1,-5.7,,
34,CCCCCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,0.64,,
35,CCCCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COOS(=O)(=O)[O-],-0.315,,
36,CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],-2.97,-2.72,-3.22
37,CCCCCCCCCCCCCCOS(=O)(=O)[O-],-2.375,,
38,CCCCCCCCCCCCCCS(=O)(=O)[O-],-3.0,-2.6,-3.4
39,CCCCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,0.24,,
40,CCCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-0.784,-0.47500000000000003,-1.093
41,CCCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.93,,
42,CCCCCCCCCCCCCOCCOCCOCCOCCOC(=O)[O-],-1.7,,
43,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOC(=O)[O-],-1.9,,
44,CCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],-2.97,-2.72,-3.22
45,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOS(=O)(=O)[O-],-3.1,,
46,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOS(=O)(=O)[O-],-0.031,,
47,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-0.784,-0.47500000000000003,-1.093
48,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.98,,
49,CCCCCCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.6,,
50,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],-2.8120000000000003,,
51,CCCCCCCCCCCCOS(=O)(=O)[O-],-2.6142857142857143,-2.105,-2.6550000000000002
52,CCCCCCCCCCCCS(=O)(=O)[O-],-3.0,,
53,CCCCCCCCCCCCc1cc(S(=O)(=O)[O-])c(C)cc1C,0.48,,
54,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,-0.62,-0.8,-1.0
55,CCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,-0.8,,
56,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.65,,
57,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COCCOS(=O)(=O)[O-],-2.22,,
58,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-2.05,-1.6,-2.0
59,CCCCCCCCCCOS(=O)(=O)[O-],-3.325,,
60,CCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,-1.6,,
61,CCCCCCCCOC(C)COC(C)COC(C)COC(C)COCCOS(=O)(=O)[O-],-2.4200000000000004,,
62,CCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-2.4325,,
63,CCCCCCCCOCCOCCOCCOCCOC(=O)[O-],-2.5,,
64,CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)[O-],-3.3,,
65,CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-],-0.9966666666666667,,
66,Cc1ccc2cccc(C)c2c1S(=O)(=O)[O-],-3.5,,
67,Cc1ccc2ccccc2c1S(=O)(=O)[O-],-3.5,-3.0,-4.0
