,SMILES,Cc ,Upper,Lower
0,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(=O)[O-],-1.5,,
1,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)[O-],-2.5,,
2,CCC(C)CC(C)CCCCC(C)OC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.61,,
3,CCCCCCC(C)CCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.3,,
4,CCCCCCC(C)CCCCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.5,,
5,CCCCCCC(C)CCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-0.2,,
6,CCCCCCC(C)CCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-0.8,,
7,CCCCCCC(C)CCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.3,,
8,CCCCCCC(CCCC)COCCOC(C)COC(C)COC(C)COC(=O)[O-],0.6,,
9,CCCCCCC(CCCC)COCCOCCOCCOCCOCCOCCOC(=O)[O-],-1.1,,
10,CCCCCCCCCCCC(C)OC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.53,,
11,CCCCCCCCCCCC(C)OCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.0,,
12,CCCCCCCCCCCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)[O-],1.0,,
13,CCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)[O-],0.2,,
14,CCCCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COOS(=O)(=O)[O-],-0.315,,
15,CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],-2.97,-2.72,-3.22
16,CCCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-0.784,-0.47500000000000003,-1.093
17,CCCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.93,,
18,CCCCCCCCCCCCCOCCOCCOCCOCCOC(=O)[O-],-1.7,,
19,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOC(=O)[O-],-1.9,,
20,CCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],-2.97,-2.72,-3.22
21,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOS(=O)(=O)[O-],-3.1,,
22,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOS(=O)(=O)[O-],-0.031,,
23,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-0.784,-0.47500000000000003,-1.093
24,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.98,,
25,CCCCCCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.6,,
26,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],-2.8120000000000003,,
27,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOS(=O)(=O)[O-],0.0314,,
28,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.65,,
29,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COCCOS(=O)(=O)[O-],-2.22,,
30,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-2.05,-1.6,-2.0
31,CCCCCCCCOC(C)COC(C)COC(C)COC(C)COCCOS(=O)(=O)[O-],-2.4200000000000004,,
32,CCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-2.4325,,
33,CCCCCCCCOCCOCCOCCOCCOC(=O)[O-],-2.5,,
34,CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)[O-],-3.3,,
