,SMILES,Cc ,Upper,Lower
0,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(=O)[O-],-1.5,,
1,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)[O-],-2.5,,
2,CCCCCCC(C)CCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.3,,
3,CCCCCCC(C)CCCCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.5,,
4,CCCCCCC(C)CCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-0.2,,
5,CCCCCCC(C)CCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-0.8,,
6,CCCCCCC(C)CCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.3,,
7,CCCCCCC(CCCC)COCCOC(C)COC(C)COC(C)COC(=O)[O-],0.6,,
8,CCCCCCC(CCCC)COCCOCCOCCOCCOCCOCCOC(=O)[O-],-1.1,,
9,CCCCCCCCCCCC(C)OCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.0,,
10,CCCCCCCCCCCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)[O-],1.0,,
11,CCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)[O-],0.2,,
12,CCCCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COOS(=O)(=O)[O-],-0.315,,
13,CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],-2.97,-2.72,-3.22
14,CCCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-0.784,-0.47500000000000003,-1.093
15,CCCCCCCCCCCCCOCCOCCOCCOCCOC(=O)[O-],-1.7,,
16,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOC(=O)[O-],-1.9,,
17,CCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],-2.97,-2.72,-3.22
18,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOS(=O)(=O)[O-],-3.1,,
19,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOS(=O)(=O)[O-],-0.031,,
20,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-0.784,-0.47500000000000003,-1.093
21,CCCCCCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)[O-],-1.6,,
22,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],-2.733333333333333,,
23,CCCCCCCCCCCCOS(=O)(=O)[O-],-2.46,-2.11,-2.81
24,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COCCOS(=O)(=O)[O-],-2.22,,
25,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-2.1125,,
26,CCCCCCCCOC(C)COC(C)COC(C)COC(C)COCCOS(=O)(=O)[O-],-2.4200000000000004,,
27,CCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-2.4325,,
28,CCCCCCCCOCCOCCOCCOCCOC(=O)[O-],-2.5,,
29,CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)[O-],-3.3,,
