,SMILES,Cc ,Upper,Lower
0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,-0.53,-0.33,-0.73
1,CCC(C)CC(C)CCCCC(C)OC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.61,,
2,CCC(CC)COC(=O)CC(C(=O)OCC(CC)CC)S(=O)(=O)[O-],-0.933,-0.8300000000000001,-1.036
3,CCCCC(C)C(CC)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,-2.0,-1.2,-2.8
4,CCCCC(CC)CC(CC(CC)CCCC)(C(=O)[O-])C(C(=O)[O-])S(=O)(=O)O,2.55,,
5,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],2.6574999999999998,2.64,2.28
6,CCCCCCC(C)Cc1ccc(S(=O)(=O)[O-])cc1,-1.6,,
7,CCCCCCCC(=O)[O-],-2.1,-2.0,-2.2
8,CCCCCCCC/C=C\CCCCCCCC(=O)O,0.0,0.1,-0.1
9,CCCCCCCC/C=C\CCCCCCCC(=O)[O-],-1.7,-1.6,-1.8
10,CCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,-1.2,,
11,CCCCCCCCCC(=O)[O-],-2.65,,
12,CCCCCCCCCC(C)Cc1cc(C)c(S(=O)(=O)[O-])cc1C,0.6,,
13,CCCCCCCCCC(C)Cc1ccc(S(=O)(=O)[O-])c(C)c1C,0.5,,
14,CCCCCCCCCC(C)Cc1ccc(S(=O)(=O)[O-])cc1,-0.6,,
15,CCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,-0.48,,
16,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-],-4.2,-4.0,-4.4
17,CCCCCCCCCCCC(=O)[O-],-2.0,-2.2,-2.6
18,CCCCCCCCCCCC(C)OC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.53,,
19,CCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1,0.24,,
20,CCCCCCCCCCCCCC(=O)[O-],-2.0250000000000004,-1.9000000000000001,-2.5
21,CCCCCCCCCCCCCCCC(=O)[O-],-1.2,,
22,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)[O-])C(=O)O,-5.0,,
23,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],-5.0,-4.8,-5.2
24,CCCCCCCCCCCCCCCCCC(=O)[O-],-0.75,,
25,CCCCCCCCCCCCCCCCCCCCC(=O)NCCn1ccnc1CCCCCCCCCCCCCCCCCCCC,7.7,12.2,3.2
26,CCCCCCCCCCCCCCCCCCCCc1nccn1CCN,1.6,2.1,1.1
27,CCCCCCCCCCCCCCCCCCNCCC[N+],-0.68,,
28,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-0.76,,
29,CCCCCCCCCCCCCCCCN(CCOCCOCCOCCOCCOCCOCCOCCOCCO)CCOCCOCCOCCOCCOCCOCCOCCOCCO,-15.6,-8.7,-22.5
30,CCCCCCCCCCCCCCCC[N+],0.85,,
31,CCCCCCCCCCCCCCCC[N+](C)(C)C,-3.0366666666666666,-5.4,-6.0
32,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0.1,0.5,0.0
33,CCCCCCCCCCCCCCCC[n+]1ccccc1,-1.9,,
34,CCCCCCCCCCCCCCCCc1cc(Oc2cccc(S(=O)(=O)[O-])c2)cc(S(=O)(=O)[O-])c1,-5.7,,
35,CCCCCCCCCCCCCCCCn1cc[n+](C)c1,-7.0,-6.9,-7.1
36,CCCCCCCCCCCCCCC[N+](C)(C)[O-],1.6,1.8,1.4
37,CCCCCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,0.64,,
38,CCCCCCCCCCCCCCOS(=O)(=O)[O-],-2.375,,
39,CCCCCCCCCCCCCCS(=O)(=O)[O-],-3.0,-2.6,-3.4
40,CCCCCCCCCCCCCC[N+],0.0,,
41,CCCCCCCCCCCCCC[N+](C)(C)C,-4.8566666666666665,-7.9,-8.9
42,CCCCCCCCCCCCCC[N+](C)(C)c1ccccc1,-0.6,,
43,CCCCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,0.24,,
44,CCCCCCCCCCCCCCc1ccccn1,-3.7,,
45,CCCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.93,,
46,CCCCCCCCCCCCC[N+](C)(C)[O-],0.7,1.3,0.1
47,CCCCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.98,,
48,CCCCCCCCCCCCOCC(O)COCC(C)O,1.28,,
49,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],-2.93,,
50,CCCCCCCCCCCCOS(=O)(=O)[O-],-2.64,-2.1,-2.5
51,CCCCCCCCCCCCS(=O)(=O)[O-],-3.0,,
52,CCCCCCCCCCCC[N+],-0.8436666666666667,,
53,CCCCCCCCCCCC[N+](C)(C)C,-5.3675,-9.3,-10.7
54,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,8.3,9.7,6.9
55,CCCCCCCCCCCC[N+](C)(C)[O-],-1.0,-0.4,-1.6
56,CCCCCCCCCCCCc1cc(S(=O)(=O)[O-])c(C)cc1C,0.48,,
57,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,-0.62,-0.8,-1.0
58,CCCCCCCCCCCCc1ccccn1,-4.56,,
59,CCCCCCCCCCC[n+]1ccccc1,-5.3,-4.0,-6.6
60,CCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,-0.8,,
61,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.65,,
62,CCCCCCCCCCOC(C)COC(C)COC(C)COC(C)COS(=O)(=O)[O-],-1.8,-1.6,-2.0
63,CCCCCCCCCCOS(=O)(=O)[O-],-3.325,,
64,CCCCCCCCCC[N+],-1.275,,
65,CCCCCCCCCC[N+](C)(C)C,-5.22,,
66,CCCCCCCCCCc1ccccn1,-5.41,,
67,CCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,-1.6,,
68,CCCCCCCC[N+],-2.55,,
69,CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-],-0.9966666666666667,,
70,CCCc1ccnc(CCC)c1,-0.9,-0.8,-1.0
71,Cc1ccc2cccc(C)c2c1S(=O)(=O)[O-],-3.5,,
72,Cc1ccc2ccccc2c1S(=O)(=O)[O-],-3.5,-3.0,-4.0
