,SMILES,Cc ,Upper,Lower
0,CC(C)CCCC(C)CCC(C)COCCOCCOCCO,1.0,,
1,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCO,-0.1,,
2,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCOCCO,-1.1,,
3,CC(C)CCCC(C)CCC(C)COCCOCCOCCOCCOCCOCCOCCOCCO,-1.8,,
4,CCCC(CCCCOCCOCCOCCOCCOCCOCCOCCO)CCC(C)CC,0.07,0.16,-0.02
5,CCCCC(CC)CCC(C)CCOCCOCCOCCOCCO,0.2999999999999998,,
6,CCCCC(CC)CCC(C)CCOCCOCCOCCOCCOCCOCCOCCO,-2.7,,
7,CCCCC(CC)CCC(C)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-5.7,,
8,CCCCCC(C)Cc1ccc(OCCOCCOCCO)cc1,3.2,,
9,CCCCCC(C)Cc1ccc(OCCOCCOCCOCCOCCOCCO)cc1,0.20000000000000018,,
10,CCCCCC(C)Cc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-2.8,,
11,CCCCCCC(C)CCCCCOCCOCCOCCOCCO,1.1,,
12,CCCCCCC(C)CCCCCOCCOCCOCCOCCOCCO,0.3,,
13,CCCCCCC(C)CCCCCOCCOCCOCCOCCOCCOCCOCCO,-1.4,,
14,CCCCCCC(C)CCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-4.15,,
15,CCCCCCC(C)Cc1ccc(OCCOCCOCCO)cc1,1.5,,
16,CCCCCCC(C)Cc1ccc(OCCOCCOCCOCCOCCO)cc1,0.8600000000000003,,
17,CCCCCCC(C)Cc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-1.7400000000000002,,
18,CCCCCCC(C)Cc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-2.4499999999999993,,
19,CCCCCCCC(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,0.5,,
20,CCCCCCCC(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-1.5,,
21,CCCCCCCC(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-4.5,,
